DATE,YardCpu
1597661085002,40.8310819556
1597661985002,40.7344159778
1597662885002,41.8128688667
1597663785002,40.0034156
1597664685002,39.4861438667
1597665585002,39.9615204222
1597666485002,41.8392801778
1597667385002,39.9743150667
1597668285002,40.5584428667
1597669185002,40.3272054
1597670085002,41.8423454667
1597670985002,40.6333715333
1597671885002,41.1343570667
1597672785002,40.2586770222
1597673685002,41.4272823333
1597674585002,40.2809994444
1597675485002,40.3669603333
1597676385002,40.5214937556
1597677285002,41.9347272444
1597678185002,41.0659030889
1597679085002,40.6810581556
1597679985002,40.4187864667
1597680885002,41.5012143556
1597681785002,40.211023
1597682685002,40.2032358667
1597683585002,40.0302800222
1597684485002,40.6379572222
1597685385002,39.6708757778
1597686285002,39.869742
1597687185002,39.9867027778
1597688085002,40.2308306889
1597688985002,40.0541341556
1597689885002,40.8561332667
1597690785002,40.6104162222
1597691685002,40.6850036667
1597692585002,40.1789300667
1597693485002,40.1114635778
1597694385002,40.2208494889
1597695285002,40.9984176444
1597696185002,40.2808881778
1597697085002,40.3411717556
1597697985002,40.3221850222
1597698885002,41.6417669333
1597699785002,40.6129519778
1597700685002,40.6157985333
1597701585002,40.7026964444
1597702485002,41.7757599333
1597703385002,41.9837913556
1597704284001,42.0361089778
1597705184001,41.7773128
1597706084001,42.5753152444
1597706984001,41.9697651111
1597707884001,42.2431636889
1597708784001,42.2775683778
1597709684001,40.4218675778
1597710584001,40.6079435778
1597711484001,39.7275570889
1597712384001,40.9019751333
1597713284001,41.4285001556
1597714184001,41.7238032222
1597715084001,41.4732465333
1597715984001,41.6590809333
1597716884000,42.7206167333
1597717784000,45.8324193111
1597718684000,48.0185194667
1597719584000,48.8036911333
1597720484000,50.0567126222
1597721384000,50.2111930889
1597722284000,50.2872277333
1597723184000,51.2496407556
1597724084000,51.5301997556
1597724984000,50.5644994
1597725884000,50.8385099333
1597726784000,50.7061229778
1597727684000,53.0222118
1597728584000,52.3913065333
1597729484000,53.3323442444
1597730384000,55.0545158667
1597731284000,54.9959503333
1597732184000,54.7299310222
1597733084000,55.7325458889
1597733984000,53.2569158444
1597734884000,54.5502278222
1597735784000,52.0122739111
1597736684000,54.0903548222
1597737584000,53.4174178
1597738484000,52.4810402444
1597739384000,52.6022768
1597740284000,46.5499316
1597741184000,44.9222583556
1597742084000,47.8540823333
1597742984000,45.3400287778
1597743884000,50.2013530667
1597744784000,51.9735352889
1597745684000,50.4038066222
1597746584000,50.1885098444
1597747484000,49.7971069333
1597748384000,50.1611640444
1597749284000,50.5358244667
1597750184000,49.7462055333
1597751084000,49.9706312222
1597751984000,50.5289750889
1597752884000,45.2802121333
1597753784000,42.4747432
1597754684000,41.6698474444
1597755584000,41.5350657778
1597756484000,43.0301345778
1597757384000,42.3160928889
1597758284000,41.8736036889
1597759184000,42.3425924222
1597760084000,42.9276956667
1597760984000,42.4992020222
1597761884000,41.9601694667
1597762784000,41.3674876
1597763684000,42.8156461556
1597764585001,41.6650930444
1597765485001,42.0195402667
1597766385001,41.8982121333
1597767285001,42.5781936444
1597768185001,40.6528545333
1597769085001,40.8150556444
1597769985001,40.5996273111
1597770885001,41.4624264444
1597771785001,40.8306996222
1597772685001,40.5776711111
1597773585001,40.5651118444
1597774485001,40.1606067778
1597775385001,39.9744958667
1597776285001,40.1957341333
1597777185001,40.4629892667
1597778085001,40.3544085333
1597778985001,39.5489366
1597779885001,40.1019332444
1597780785001,38.7296569111
1597781685001,40.6092599111
1597782585001,40.0031915778
1597783485001,40.3876428667
1597784385001,39.9691407778
1597785285001,40.4819590667
1597786185001,40.4969326444
1597787085001,39.8847689556
1597787985001,40.0645887778
1597788885001,41.7211675556
1597789785001,40.8638424667
1597790685001,40.8871088444
1597791585001,41.0285054889
1597792485001,42.3409240667
1597793385001,40.9625260667
1597794285001,41.6595744
1597795185001,42.1981104444
1597796085001,41.8697068444
1597796985001,43.4118756444
1597797885001,44.3972379778
1597798785001,46.0527268222
1597799685001,45.9497447333
1597800585001,46.1733600889
1597801485001,46.9906695556
1597802385001,47.9299430444
1597803284000,46.8586167556
1597804184000,47.5044638667
1597805084000,49.3723750444
1597805984000,49.6322627111
1597806884000,41.2792924222
1597807784000,30.9104701333
1597808684000,27.3199019778
1597809584000,26.4555640444
1597810484000,28.4897794667
1597811384000,27.9066057556
1597812284000,28.0387212222
1597813184000,27.7132235556
1597814084000,29.3600360444
1597814984000,28.4240971111
1597815884000,29.1337276667
1597816784000,28.3313801111
1597817684000,31.2152871111
1597818584000,28.2901358667
1597819484000,28.5793332444
1597820384000,28.5031931111
1597821284000,30.3910765778
1597822184000,30.3820368222
1597823084000,31.1192004222
1597823984000,30.3236071333
1597824884000,29.6182211111
1597825784000,28.8937131333
1597826684000,28.5102406889
1597827584000,28.9443750667
1597828484000,30.1951698889
1597829384000,28.5101979333
1597830284000,31.5628637556
1597831184000,28.320886
1597832084000,28.0945111333
1597832984000,27.0732875556
1597833884000,27.4104696444
1597834784000,28.0462680444
1597835684000,28.5666485111
1597836584000,27.9255642
1597837484000,28.7182883556
1597838384000,28.9351059111
1597839284000,30.0260456667
1597840184000,28.9509278222
1597841084000,29.0325394667
1597841984000,27.9610942667
1597842884000,28.6562629111
1597843784000,28.1606025333
1597844684000,27.9562312667
1597845584000,28.6795409333
1597846484000,29.5025668444
1597847384000,28.4860929111
1597848284000,28.9819088
1597849184000,28.7672554
1597850084000,30.1748088222
1597850984000,28.3784659111
1597851884000,28.5721183778
1597852784000,28.2192086222
1597853684000,29.3061284222
1597854584000,28.5355538889
1597855484000,28.1293754889
1597856384000,28.4716196222
1597857284000,28.9439432667
1597858184000,28.1027065333
1597859084000,28.1819353778
1597859984000,28.0169746444
1597860884000,29.8805557556
1597861784000,28.529555
1597862684000,28.5633572889
1597863584000,28.7563380667
1597864484000,30.2506003778
1597865384000,29.4858532222
1597866284000,29.5442654889
1597867184000,29.3099712667
1597868084000,30.3320681556
1597868984000,29.1932840444
1597869884000,30.1620562
1597870784000,30.0947186667
1597871684000,32.4793120222
1597872584000,31.2931818444
1597873484000,31.6480582444
1597874384000,31.4974561111
1597875284000,33.4356933778
1597876184000,33.1601977778
1597877084000,33.6084524889
1597877984000,33.9143287778
1597878884000,35.6326547778
1597879784000,34.5988676889
1597880684000,34.2406320444
1597881584000,35.5940039556
1597882484000,34.6169914
1597883384000,36.4334269111
1597884284000,38.5854198444
1597885184000,31.2292632
1597886084000,30.2866261556
1597886984000,27.5864285778
1597887884000,28.3022589111
1597888784000,28.0074429778
1597889685000,29.4132241556
1597890585000,29.0833216222
1597891485000,29.5267791556
1597892385000,30.0380683111
1597893285000,30.527511
1597894185000,28.8792308667
1597895085000,29.5691323333
1597895985000,29.8029478
1597896885000,32.1632547778
1597897785000,31.1057850889
1597898685000,33.2393188667
1597899585000,33.6955685556
1597900485000,36.1030412444
1597901385000,34.6571822222
1597902285000,35.1899730667
1597903185000,35.6743757333
1597904085000,38.1375047333
1597904985000,37.8812780444
1597905885000,38.9266218889
1597906785000,40.0439545556
1597907685000,41.2239060444
1597908585000,41.7676510444
1597909485000,42.9371618667
1597910385000,41.8280252
1597911285000,43.4022336222
1597912185000,41.2531362667
1597913085000,40.6867954889
1597913985000,40.3592061556
1597914885000,40.3817361556
1597915785000,39.4193739778
1597916685000,39.0639632222
1597917585000,39.0687286222
1597918485000,39.6362192667
1597919385000,38.4685077556
1597920285000,38.8231230889
1597921185000,38.2857699111
1597922085000,38.7504399111
1597922985000,39.0513740222
1597923885000,39.9966559111
1597924785000,39.1998447778
1597925685000,39.3889806889
1597926585000,39.0199849111
1597927485000,37.8868666
1597928385000,38.2341009556
1597929285000,39.2463957111
1597930186001,38.0674903111
1597931086001,37.5994405778
1597931986001,37.7907325333
1597932886001,37.8775503778
1597933786001,37.7694699333
1597934686001,37.7183643111
1597935586001,37.5849502
1597936486001,37.9408637778
1597937386001,36.6180151778
1597938286001,36.4901593333
1597939186001,36.9805052222
1597940086001,37.2025699333
1597940986001,36.1843974222
1597941886001,35.5736353556
1597942786001,36.6590174222
1597943686001,36.6307071778
1597944586001,35.8900048444
1597945486001,35.8014141333
1597946386001,35.8073439333
1597947286001,36.1459811111
1597948186001,35.7736918222
1597949086001,36.5012635556
1597949986001,35.8617336667
1597950886001,36.7154452444
1597951786001,35.4988404444
1597952686001,35.4243127111
1597953586001,35.2731163778
1597954486001,36.0850189333
1597955386001,35.4541084
1597956286001,35.7612835556
1597957186001,35.9448453556
1597958086001,36.5305260222
1597958986001,36.0867972889
1597959886001,36.2471932889
1597960786001,36.2940036444
1597961686001,37.3812630889
1597962586001,36.7750961778
1597963486001,36.1902462444
1597964386001,36.1099569333
1597965286001,37.0921075111
1597966186001,36.6519248222
1597967086001,36.7829579556
1597967986001,37.6196056667
1597968886001,37.5774974667
1597969786001,36.9112862222
1597970686001,40.1487948667
1597971586001,37.8709468
1597972486001,40.0960923778
1597973386001,39.6992324889
1597974286001,37.9975403556
1597975186001,40.9650675778
1597976085000,41.4721329333
1597976985000,41.3594925556
1597977885000,41.1000223556
1597978785000,41.4790296444
1597979685000,41.4308774667
1597980585000,40.3681274444
1597981485000,40.0831496444
1597982385000,40.0785084667
1597983285000,41.0083452222
1597984185000,40.3829221333
1597985085000,40.847378
1597985985000,39.8855098
1597986885000,41.0384689556
1597987785000,41.4269246667
1597988685000,41.5293966667
1597989585000,41.1974155556
1597990485000,42.0869564444
1597991385000,41.4556205111
1597992285000,41.1852848222
1597993185000,40.1891983333
1597994085000,40.7129236222
1597994985000,43.0527852
1597995885000,43.3887866667
1597996785000,42.6266779556
1597997685000,43.701839
1597998585000,43.7864949111
1597999485000,43.1021950667
1598000385000,42.9821068667
1598001285000,42.5322652222
1598002185000,39.1074965778
1598003085000,39.6885654222
1598003985000,39.0927369333
1598004885000,40.1361592667
1598005785000,39.2859605556
1598006685000,38.6045265556
1598007585000,38.3513592889
1598008485000,38.9828760222
1598009385000,37.9463007111
1598010285000,38.0853771556
1598011185000,38.0683738889
1598012085000,38.4032381111
1598012985000,37.3425370222
